Comune;Provincia;Categoria;Tipologia;Nome;Indirizzo;Sito internet;Telefono;Email;Codice;Longitudine;Latitudine
Buseto Palizzolo;Trapani;3 Spighe;Agriturismo;Arcudaci;SP 44 1;;0923854009;info@arcudaci.it;TRS-IT-SIC-05609;12.791912;37.971107
Buseto Palizzolo;Trapani;3 Spighe;Agriturismo;Az. Agr. Spezia;Via Agrigento 60;;09223851227;info@fattoriaspezia.it;TRS-IT-SIC-05746;12.701068;38.000002
Buseto Palizzolo;Trapani;3 Spighe;Agriturismo;Baglio Fontana;Via Palermo 26;;0923855000;info@bagliofontana.it;TRS-IT-SIC-05675;12.721762;38.014071
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Al Giardino di Franco;Via Palermo 62;;0923852208;algiardino@algiardinodifranco.com;TRS-IT-SIC-05927;12.724716;38.013636
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Angela;Via Segesta 65;;0923851351;angelagervasi@virgilio.it;TRS-IT-SIC-01643;12.719016;38.000192
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Baglio Case Colomba;Via Toselli 183;;0923852729;info@casecolomba.com;TRS-IT-SIC-01927;12.69902;37.986139
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Baglio Ferlito;Via Pietro Randazo 43;http://www.baglioferlito.com;0923855023;beb@baglioferlito.com;TRS-IT-SIC-03880;12.716531;38.013467
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;B&B Violetta;Via Piave 10;;0923852349;info@bbvioletta.it;TRS-IT-SIC-02287;12.733338;38.019402
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Casale delle Palme;Via Maggiore Toselli 116;;0923557944;info@casaledellepalme.com;TRS-IT-SIC-02055;12.716941;38.002146
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;La Rustica;Vicolo Gelsomino 17;;3486912335;info@vacanzerustiche.com;TRS-IT-SIC-04250;12.716941;38.002146
Buseto Palizzolo;Trapani;3 Stelle;Bed & Breakfast;Villa Pollina;Via Pietro Randazzo 57;;0923852568;info@villapollina.it;TRS-IT-SIC-05026;12.717185;38.013276
Buseto Palizzolo;Trapani;3 Stelle;Hotel;Ciuri di Badia;Via Erice 5;;0923852256;info@ciurihotel.it;TRS-IT-SIC-05789;12.702288;38.037044
Buseto Palizzolo;Trapani;3 Stelle;Hotel;Hotel Terra degli Elimi;Via Palermo 71;;0923855059;terradeglielimi@gmail.com;TRS-IT-SIC-04564;12.720764;38.014111
Buseto Palizzolo;Trapani;3 Stelle;Turismo Rurale;Ager Costa;Via Roma 60;;0923811018;farmaciacosta@alice.it;TRS-IT-SIC-02455;12.718093;38.017863
Calatafimi;Trapani;1 Spiga;Agriturismo;Agriturismo Gessi;Contrada Gessi 1;;09241836033;info@agriturismogessi.it;TRS-IT-SIC-07886;12.841374;37.911467
Calatafimi;Trapani;1 Stella;Hotel;Mille Pini;Via Belvedere Franceso Vivona 1;;0924951260;hotel@millepini.com;TRS-IT-SIC-01438;12.855377;37.912208
Calatafimi;Trapani;1 Stella;Turismo Rurale;Turismo rurale Zaccanelli;Contrada Zaccanelli 1;;3385082944;antonino1.gucciardi@libero.it;TRS-IT-SIC-01479;12.83598;37.941862
Calatafimi;Trapani;2 Stelle;Bed & Breakfast;Villa del Bosco;Contrada Marzuco 1;;330849216;degaeta@neomedia.it;TRS-IT-SIC-05275;12.861985;37.923702
Calatafimi;Trapani;3 Spighe;Agriturismo;Tenute Pispisa Segesta;Contrada Pispisa 1;;3384120567;info@tenutepispisasegesta.com;TRS-IT-SIC-06054;12.798127;37.95484
Calatafimi;Trapani;3 Stelle;Bed & Breakfast;B&B Villa Palmeri;Contrada Barbaro 1;;3924743546;antonia.palmeri@virgilio.it;TRS-IT-SIC-04381;12.83598;37.941862
Calatafimi;Trapani;3 Stelle;Bed & Breakfast;La Suite di Segesta;Contrada Barbaro 1;;3333126455;info@lasuitedisegesta.com;TRS-IT-SIC-04238;12.83598;37.941862
Calatafimi;Trapani;3 Stelle;Hotel;Terme Gorga;Contrada Gorga 1;;092423842;termegorga@libero.it;TRS-IT-SIC-01409;12.83598;37.941862
Calatafimi;Trapani;3 Stelle;Turismo Rurale;Baglio Segesta;Contrada Morgana 1;http://eee.bagliosegesta.it;3488830124;info@bagliosegesta.it;TRS-IT-SIC-05123;12.816812;37.935249
Calatafimi;Trapani;3 Stelle;Turismo Rurale;Casale degli Aranci;Contrada Bernardo 1;;0924954142;info@casaledegliaranci.it;TRS-IT-SIC-07454;12.822732;37.906844
Calatafimi;Trapani;4 Stelle;Turismo Rurale;Relais Angib�;SS 113 KM338;;0924530120;infoangimbe@gmail.com;TRS-IT-SIC-01490;12.872715;37.914782
Campobello Di Mazara;Trapani;2 Stelle;Bed & Breakfast;Casa Irenemare;Via 117 est 13;;3314866780;casairenemare@gmail.com;TRS-IT-SIC-02048;12.726704;37.573291
Campobello Di Mazara;Trapani;2 Stelle;Bed & Breakfast;Raffaella;Contrada Bosco Vecchio 565;;3474168898;boscovecchio565@libero.it;TRS-IT-SIC-02211;12.731832;37.590801
Campobello Di Mazara;Trapani;3 Stelle;Affittacamere;Villa al Mare;Contrada Tre Fopntane 1;;3488922320;info@villaalmaresicilia.it;TRS-IT-SIC-05034;12.743313;37.630627
Campobello Di Mazara;Trapani;3 Stelle;Bed & Breakfast;B & B Fronte mare;Piazza Fano Rosso 12;;33916311573;angelomariamanzo@gmail.com;TRS-IT-SIC-04346;12.748371;37.632305
Campobello Di Mazara;Trapani;3 Stelle;Bed & Breakfast;Blu Forum;Via Cile 16;;3209791092;supermamyblu@libero.it;TRS-IT-SIC-04347;12.708033;37.567905
Campobello Di Mazara;Trapani;3 Stelle;Bed & Breakfast;Da Mat�;Via Zara 5;;3281391678;bonpie@tiscali.it;TRS-IT-SIC-02103;12.746085;37.630229
Campobello Di Mazara;Trapani;3 Stelle;Turismo Rurale;Borgo Campana;Contrada Campana 1;;092440001;impossibile@recapitare.it;TRS-IT-SIC-05953;12.748371;37.632305
Campobello Di Mazara;Trapani;4 Stelle;Hotel;Zahira Resort;Contrada Tre Fontane 1;;092480393;direzione@zahiraresort.it;TRS-IT-SIC-05970;12.724976;37.569787
Castellammare Del Golfo;Trapani;1 Stella;Affittacamere;Amun�;Corso Garibaldi 382;;3357545268;amuni.affittacamere@gmail.com;TRS-IT-SIC-02321;12.881153;38.020523
Castellammare Del Golfo;Trapani;1 Stella;Bed & Breakfast;Le Grotte;Via Mazzarella 11;;0924541248;info@beblegrotte.com;TRS-IT-SIC-04373;12.817561;38.070644
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;4 Canti;Corso Garibaldi 76;;092432254;info@4canti.it;TRS-IT-SIC-03884;12.881203;38.026188
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Aqua;Contrada Tavolatella 480;;3395860228;aquacasevacanze@gmail.com;TRS-IT-SIC-06501;12.880926;38.026491
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Casa degli Ulivi;Contrada Franginesi 24;;3356089066;dacofimsas@virgilio.it;TRS-IT-SIC-07324;12.877207;38.024813
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Case di Calamazzo;Contrada Mazzo di Sciacca 1;;09245055100;info@casedicalamazzo.it;TRS-IT-SIC-04187;12.880926;38.026491
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Case Vacanze Cappuccini;Via Cappuccini 44;;3345917197;riccobonoanna@gmail.com;TRS-IT-SIC-07294;12.882938;38.026616
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Holiday apartment la matrici;Via Sarcona 7;;3393790679;francesco.val84@gmail.com;TRS-IT-SIC-07151;12.882149;38.028338
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;La Chiusa Vacanze;Via Marinaro 4;;092435201;info@caselachiusa.com;TRS-IT-SIC-05267;12.880523;38.027753
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Le Case di Giosi;Via Don Luigi Sturzo 1;;092430412;info@thinkscopello.it;TRS-IT-SIC-05223;12.879931;38.027302
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Le Plejadi;Via Nunzio Nasi 41;;0924202151;info@leplejadi.it;TRS-IT-SIC-05271;12.881553;38.026941
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Mare Luna Residence;Via Marconi 21;http://www.marelunaresidence.it;092431222;info@marelunaresidence.it;TRS-IT-SIC-05850;12.88186;38.026435
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Residence Cialoma;Via Marconi 86;;32923114182;info@comosrl.it;TRS-IT-SIC-05281;12.883386;38.026626
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Residence Guidaloca;Contrada Barone 1;;092430752;info@residenceguidaloca.it;TRS-IT-SIC-05282;12.874729;38.031336
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Residence I Faraglioni;Contrada Scopello 1;;0924541289;info@ifaraglioni.com;TRS-IT-SIC-05283;12.817354;38.070595
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Ulivo Blu;Contrada Franginesi 159;;092439211;info@ulivoblu.it;TRS-IT-SIC-06582;12.84505;38.034214
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Villaggio del Comandante;Contrada Ciauli 1;http://www.villaggiodelcomandante.it/;3890456003;villaggiocomandante@tiscali.it;TRS-IT-SIC-05313;12.842851;38.04739
Castellammare Del Golfo;Trapani;1 Stella;Case e Appartamenti per Vacanze;Villa Paradiso;Contrada Piano Vignazze 90;;3398152557;info@villaparadisoscopello.com;TRS-IT-SIC-07435;12.833378;38.057412
Castellammare Del Golfo;Trapani;1 Stella;Hotel;Pensione Tranchina;Via Diaz 7;;0924541099;pensionetranchina@gmail.com;TRS-IT-SIC-01436;12.8177;38.070473
Castellammare Del Golfo;Trapani;2 Spighe;Agriturismo;Agriturismo Camillo Finazzo;Contrada Molinazzo 1;http://www.agriturismofinazzo.it;092438051;info@agriturismofinazzo.it;TRS-IT-SIC-05628;12.802308;38.038001
Castellammare Del Golfo;Trapani;2 Spighe;Agriturismo;Baglio Pocoroba;Contrada Pocoroba 1;;3381139150;info@pocoroba.it;TRS-IT-SIC-05650;12.81354;37.95592
Castellammare Del Golfo;Trapani;2 Stelle;Affittacamere;Case D'Anna;Via Marina Petrolo 25;;3294181782;info@casedanna.it;TRS-IT-SIC-01529;12.884186;38.028025
Castellammare Del Golfo;Trapani;2 Stelle;Affittacamere;Le Camere del Crimiso;Via Rosario Livatino 30;;092430375;info@crimisocamere.it;TRS-IT-SIC-05501;12.889396;38.014862
Castellammare Del Golfo;Trapani;2 Stelle;Bed & Breakfast;Angelo B&B;Via Marco Polo 4;http://www.angeloscopello.it;3386974276;info@angeloscopello.it;TRS-IT-SIC-03578;12.817947;38.070528
Castellammare Del Golfo;Trapani;2 Stelle;Bed & Breakfast;Da Maria;Piazza Nettuno 3;;0924541216;info@bedandbreakfastmaria.com;TRS-IT-SIC-04580;12.817992;38.07033
Castellammare Del Golfo;Trapani;2 Stelle;Campeggi;Ciauli;Contrada Ciauli 164;;3358439580;ciaulicamp@hotmail.com;TRS-IT-SIC-05716;12.842851;38.04739
Castellammare Del Golfo;Trapani;2 Stelle;Hotel;Locanda Scirocco;Corso Garibaldi 117;;092430010;info@locandascirocco.it;TRS-IT-SIC-05124;12.881221;38.025567
Castellammare Del Golfo;Trapani;3 Spighe;Agriturismo;Agricampeggio Scopello;Via Finanziere Mazzarella 1;;09241855139;info@agricampeggioscopello.it;TRS-IT-SIC-02332;12.817191;38.070782
Castellammare Del Golfo;Trapani;3 Spighe;Agriturismo;Tenute Plaia;Contrada Scopello 3;http://www.agriturismotenuteplaia.it;0924541476;info@plaiavini.com;TRS-IT-SIC-05655;12.819533;38.065866
Castellammare Del Golfo;Trapani;3 Stelle;Affittacamere;Aziyz;Via Marconi 96;;092430151;info@aziyz.it;TRS-IT-SIC-01545;12.883711;38.026585
Castellammare Del Golfo;Trapani;3 Stelle;Affittacamere;Badia;Via Bizet 7;http://www.badiarooms.it;092433581;info@badiarooms.it;TRS-IT-SIC-06197;12.880543;38.026742
Castellammare Del Golfo;Trapani;3 Stelle;Affittacamere;Tannur;Via Castronovo 2;;092430412;info@thinkscopello.it;TRS-IT-SIC-05494;12.877746;38.026582
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;82 Bed and Breakfast;Contrada Intavolata 82;;3898888188;82bedandbreakfast@gmail.com;TRS-IT-SIC-07025;12.896459;38.019395
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Antica Cascina del golfo;Via Mazzarella 101;;3391005668;info@anticacascinadelgolfo.com;TRS-IT-SIC-01675;12.815562;38.071332
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Baglio Buccellato;Contrada Piano Vignazzi 1;;3394982691;info@bagliobuccellato.it;TRS-IT-SIC-05843;12.880926;38.026491
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;B&B Cur�;Via G.Verdi 132;http://www.curu.it;3288648165;bnbcuru@gmail.com;TRS-IT-SIC-07317;12.88138;38.023852
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;B&B L'Ultimo Rais;Via Tobruk 21;;3334251107;beb.lultimorais@gmail.com;TRS-IT-SIC-06950;12.884674;38.021149
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Bernardo's;Contrada Scopello 103;;3394204570;bb.bernardos@libero.it;TRS-IT-SIC-01986;12.817354;38.070595
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Casale Corcella;Contrada Scardina 20;http://www.casalecorcella.com;3683654482;info@casalecorcella.com;TRS-IT-SIC-05931;12.80463;38.069345
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Helios B&B;Via Di Gaetano 57;http://www.heliosbnb.com;3343770861;bebhelios@gmail.com;TRS-IT-SIC-05565;12.879787;38.024702
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Kolors;Via Marianaro 20;;0924200487;gerryancona@gmail.com;TRS-IT-SIC-06889;12.881032;38.027482
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;La Meridiana;Via G. Marconi 130;;3284911173;info@lameridianarooms.com;TRS-IT-SIC-07227;12.884644;38.026627
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;La Torre;Via Giosu� Carducci 26;;3200214218;latorreclaudia@hotmail.com;TRS-IT-SIC-06937;12.882019;38.02601
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Santina;Via Turano 1;;3489964449;luca.augugliaro@gmail.com;TRS-IT-SIC-06583;12.878217;38.026403
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Soleado;Via leonardo da Vinci 1;;092433505;elsoleado@virgilio.it;TRS-IT-SIC-04577;12.889439;38.018478
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Tal�a;Via San Michele 22;;34023414476;taliascopello@gmail.com;TRS-IT-SIC-05435;12.820435;38.066962
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;The Best;Contrada Scopello 101;;0924541031;scopello@aruba.it;TRS-IT-SIC-05747;12.815917;38.0742
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Tiziana;Via Margherita 8;;0924200618;bedandbreakfast.tiziana@gmail.com;TRS-IT-SIC-03696;12.883058;38.01892
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Tre Giummare;Contrada Sarmuci 37;;3282745042;tregiummare@gmail.com;TRS-IT-SIC-06231;12.812596;38.051616
Castellammare Del Golfo;Trapani;3 Stelle;Bed & Breakfast;Zamm�;Via Roma 66;;3313917709;info@zammubnb.it;TRS-IT-SIC-05127;12.879589;38.024902
Castellammare Del Golfo;Trapani;3 Stelle;Campeggi;Nausicaa;Contrada Forgia 1;;092433030;info@nausicaa-camping.it;TRS-IT-SIC-05777;12.871999;38.038119
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Al Madarig;Piazza Petrolo 7;;092433533;info@almadarig.com;TRS-IT-SIC-01399;12.883438;38.028186
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Cerri Hotel;Via Mascagni 4;;092434999;info@cerrihotel.it;TRS-IT-SIC-05861;12.879834;38.027626
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Hotel Baglio dello Zingaro;Contrada La  Cicirata 1;;0924541616;zingaro@ibagliresort.it;TRS-IT-SIC-05215;12.868909;38.035956
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Hotel Baglio scopello;Contrada Scopello 1;;0924541620;scopello@ibagliresort.it;TRS-IT-SIC-05216;12.817354;38.070595
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Hotel Cala Marina;Via Zangara leonardo 1;;0924531841;info@hotelcalamarina.it;TRS-IT-SIC-00961;12.878822;38.028381
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;La Piazzetta;Piazza Europa 8;http://www.lapiazzettahotel.com;092435559;info@lapiazzettahotel.com;TRS-IT-SIC-05666;12.882718;38.027458
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;La Tavernetta;Via A. Diaz 3;;09245411291;info@albergolatavernetta.it;TRS-IT-SIC-01401;12.817674;38.070597
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Marina di Petrolo Hotel & Spa;Via Marina di Petrolo 16;http://www.marinadipetrolo.it;092435571;info@marinadipetrolo.it;TRS-IT-SIC-07511;12.885332;38.027591
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Punta Nord Est;Viale Leonardo da Vinci 67;;092430511;info@puntanordest.com;TRS-IT-SIC-00864;12.885338;38.023068
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Sopra le Mura;Via Giacomo Puccini 62;;3336854923;hotelsopralemura@gmail.com;TRS-IT-SIC-07092;12.88153;38.028156
Castellammare Del Golfo;Trapani;3 Stelle;Hotel;Torre Bennistra II;Via Natale di Roma 19;;0924541128;info@hoteltorrebennistra.it;TRS-IT-SIC-00764;12.81812;38.070912
Castellammare Del Golfo;Trapani;3 Stelle;Residenze Turistico Alberghiere;Casa vacanze Valentina;Contrada Bocca della Carrubba 57;;32897217891;casavacanzevalentina@hotmail.it;TRS-IT-SIC-01465;12.886426;38.012924
Castellammare Del Golfo;Trapani;3 Stelle;Residenze Turistico Alberghiere;Le Zagare;Via Carducci 37;;092433849;info@residenzalezagare.com;TRS-IT-SIC-05315;12.881924;38.025786
Castellammare Del Golfo;Trapani;3 Stelle;Turismo Rurale;Casale la Macina;Contrada Ciauli 1;;3890456003;casalelamacina@gmail.com;TRS-IT-SIC-05754;12.869667;38.034767
Castellammare Del Golfo;Trapani;3 Stelle;Villaggi Albergo;Grotticelli;Contrada Grotticelli 1;;09241855123;info@hotelgrotticelli.com;TRS-IT-SIC-05222;12.818561;38.043868
Castellammare Del Golfo;Trapani;4 Stelle;Hotel;Hotel Cetarium;Via Don Leonardo Zangara 45;;0924533401;info@hotelcetarium.it;TRS-IT-SIC-00847;12.880582;38.028303
Castellammare Del Golfo;Trapani;4 Stelle;Residenze Turistico Alberghiere;Residence Itaca;Largo Petrolo 13;;092432752;ResidenceItaca@gmail.com;TRS-IT-SIC-06954;12.883914;38.028093
Castelvetrano;Trapani;1 Stella;Affittacamere;Oasi;Via Caduti di Nassirya 1;;092481400;benedettacascino@virgilio.it;TRS-IT-SIC-04869;12.810661;37.662695
Castelvetrano;Trapani;1 Stella;Affittacamere;Palazzo al Carmine;Via Giacomo Leopardi 25;;3495542374;palazzo.alcarmine@outlook.it;TRS-IT-SIC-07631;12.79159;37.681223
Castelvetrano;Trapani;1 Stella;Bed & Breakfast;Villetta Aurora;Via Patroclo 18;;3494976557;nicolabb@hotmail.it;TRS-IT-SIC-05790;12.844797;37.583035
Castelvetrano;Trapani;1 Stella;Campeggi;Athena;Contrada Marinella di Selinunte 1;;092446132;athenaselinunte@gmail.com;TRS-IT-SIC-05983;12.83431;37.585442
Castelvetrano;Trapani;1 Stella;Campeggi;Helios;Via Del Mediterraneo 271;;092484301;info@campinghelios.it;TRS-IT-SIC-05646;12.770218;37.582627
Castelvetrano;Trapani;1 Stella;Campeggi;Il Maggiolino;SS 115 106;;092446044;info@campingmaggiolino.it;TRS-IT-SIC-03694;12.802903;37.696078
Castelvetrano;Trapani;1 Stella;Case e Appartamenti per Vacanze;Bitti vacanze;Via Vito Lipari 23;;0924932325;info@bitticatering.it;TRS-IT-SIC-04182;12.791538;37.677871
Castelvetrano;Trapani;1 Stella;Case e Appartamenti per Vacanze;Casa vacanza Vivaldi;Via Vivaldi 1;;0924901811;info@casevacanzavivaldi.it;TRS-IT-SIC-05256;12.840688;37.594314
Castelvetrano;Trapani;1 Stella;Case e Appartamenti per Vacanze;La Casa di Franca;Via Giacomo Leopardi 25;;3495542374;lacasadifranca@outlook.it;TRS-IT-SIC-07633;12.79159;37.681223
Castelvetrano;Trapani;1 Stella;Case e Appartamenti per Vacanze;Le terrazze di Apollo;Via Marco Polo 1;;0924906673;leterrazzediapollo@gmail.com;TRS-IT-SIC-02466;12.836521;37.581919
Castelvetrano;Trapani;1 Stella;Case e Appartamenti per Vacanze;Marinella;Via Prometeo 10;;3208036007;salvo.lipari64@gmail.com;TRS-IT-SIC-06538;12.844436;37.58389
Castelvetrano;Trapani;2 Stelle;Bed & Breakfast;Santa Teresa;Contrada Latomie 1;http://www.bbsantateresa.it;0924902867;info@bbsantateresa.it;TRS-IT-SIC-01809;12.834518;37.633511
Castelvetrano;Trapani;2 Stelle;Villaggi Turistici;Villa rosa;Via 80 1;;092484229;vanessadenise@outlook.it;TRS-IT-SIC-05967;12.832424;37.593114
Castelvetrano;Trapani;3 Spighe;Agriturismo;Az. Agr. Centonze Antonino;SS 115 3;;0924907727;info@casedilatomie.com;TRS-IT-SIC-05714;12.787312;37.679644
Castelvetrano;Trapani;3 Spighe;Agriturismo;Baglio Vecchio;Contrada Zangara 1;;3355609552;info@agriturismobagliovecchio.it;TRS-IT-SIC-05667;12.791538;37.677871
Castelvetrano;Trapani;3 Spighe;Agriturismo;Carbona;Contrada Strasatto 1;;0924906919;info@agriturismocarbona.it;TRS-IT-SIC-05717;12.48775;37.710675
Castelvetrano;Trapani;3 Spighe;Agriturismo;Dimina;Contrada Dimina 1;;3483806901;info@agriturismodimina.com;TRS-IT-SIC-06635;12.791538;37.677871
Castelvetrano;Trapani;3 Spighe;Agriturismo;Masseria Anni Trenta;Contrada Latomie 6;;0924904500;info@annitrenta.com;TRS-IT-SIC-06047;12.843192;37.602778
Castelvetrano;Trapani;3 Stelle;Bed & Breakfast;B & B Garzia;SS 115 1;;3495235227;garziabeb@gmail.com;TRS-IT-SIC-06000;12.823845;37.653143
Castelvetrano;Trapani;3 Stelle;Bed & Breakfast;Demetra Malophoros;Via Socrate 2;;092446079;info.bbdemetra@gmail.com;TRS-IT-SIC-02110;12.844613;37.587737
Castelvetrano;Trapani;3 Stelle;Bed & Breakfast;Il Pescatore;Via Castore e polluce 31;;092446303;il.pescatore@alice.it;TRS-IT-SIC-05715;12.840976;37.586803
