Comune;Long;Lat;Denominazione;Indirizzo;Nome Parco;Riferimenti Web;Cronologia;Tipologia;Info;Telefono;Email;Social;Ticket Intero;Ticket Ridotto;Orario;Scheda;Immagini;Note;Sheet
Siracusa;15.275051;37.075713;Teatro Greco;Via del Teatro Greco;Parco archeologico di Siracusa;http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=55&IdSito=75;ellenistica;Teatro;;093166206;nan;;10.0;5.0;Tutti i giorni dalle 8,30 alle 18,30 chiusura biglietteria 17.00;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_teatrogreco.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_teatrogreco.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_teatrogreco_eng.pdf
Siracusa;15.277237;37.074452;Ara di Ierone;Via del Teatro Greco;Parco archeologico di Siracusa;http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=55&IdSito=75;ellenistica;Altare;;093166206;nan;;10.0;5.0;Tutti i giorni dalle 8,30 alle 18,30 chiusura biglietteria 17.00;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_ierone.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_ierone.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_ierone_eng.pdf
Siracusa;15.278888;37.074162;Anfiteatro Romano;Via del Teatro Greco;Parco archeologico di Siracusa;http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=55&IdSito=75;imperiale;Anfiteatro;;093166206;nan;;10.0;5.0;Tutti i giorni dalle 8,30 alle 18,30 chiusura biglietteria 17.00;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_anfiteatro.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_anfiteatro.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_anfiteatro_eng.pdf
Siracusa;15.280517;37.067353;Ginnasio Romano;Via Elorina;Parco archeologico di Siracusa;http://it.wikipedia.org/wiki/Ginnasio_romano_(Siracusa);imperiale;Ginnasio;;09314508211;nan;;0.0;0.0;Temporaneamente chiuso;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_ginnasio.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_ginnasio.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_ginnasio_eng.pdf
Siracusa;15.22082;37.091466;Castello Eurialo;Piazza Eurialo n.1;Parco archeologico di Siracusa;http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=103&IdSito=74;"classica; ellenistica";Fortificazioni;;0931711773;nan;;4.0;2.0;Lunedì 12,00 alle 16,30 chiusura biglietteria 15,45. Dal martedì al sabato dalle 8,30 alle 13,45 chiusura biglietteria 12.30 Domenica e festivi apertura dalle 9 alle 13.45 chiusura biglietteria 12.3;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_eurialo.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_eurialo.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_eurialo_eng.pdf
Siracusa;15.292927;37.063939;Tempio di Apollo;Largo XXV Luglio;Area archeologica di Ortigia;http://www.siracusaturismo.net/scheda.asp?ID=138;arcaica;Tempio;Sito recintato, non custodito, osservabile dalla piazza;;nan;;0.0;0.0;Sito aperto non custodito;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_apollo.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Ortigia_apollo.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_apollo_eng.pdf
Siracusa;15.293428;37.059605;Tempio di Atena (Duomo);Piazza Duomo 4;Area archeologica di Ortigia;http://www.siracusaturismo.net/scheda.asp?ID=2;"arcaica; classica";Tempio;;;nan;;0.0;0.0;Ingresso libero;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_atena.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Ortigia_atena.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_atena_eng.pdf
Siracusa;15.293898;37.059859;Tempio Ionico di Minerva;Piazza Minerva;Area archeologica di Ortigia;http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=179&IdSito=73;arcaica;Tempio;;0931 450811;nan;;Non Disponibile;Non Disponibile;Chiuso al pubblico per interventi di manutenzione;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_minerva.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Ortigia_ionico.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Ortigia_minerva_eng.pdf
Siracusa;15.257546;37.051574;Tempio di Giove Olimpio;Via Tempio di Giove;Parco archeologico di Siracusa;http://it.wikipedia.org/wiki/Tempio_di_Zeus_(Siracusa);arcaica;Tempio;;;nan;;Non Disponibile;Non Disponibile;Chiuso;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_giove.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Siracusa_giove.jpg;(parco in corso di definizione);http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Siracusa_giove_eng.pdf
Palazzolo Acreide;14.894703;37.057616;Teatro;Colle dell'Acromonte - via Teatro Greco;Area archeologica di Akrai;http://www.palazzolo-acreide.it/akrai_la_zona_archeologica_di%20palazzolo_acreide/teatro_greco.htm;ellenistica;Teatro;Biglietto cumulativo con Casa Museo Uccello € 5.00 ridotto 2,50 Orari soggetti a variazioni secondo le condizioni meteorologiche;0931 876602;nan;;4.0;2.0;Dal lunedì al sabato dalle 8,30 alle 16.30, chiusura biglietteria 15,30 Festivi 8,30 alle 13,45 chiusura biglietteria 12,30;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_teatro.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Akrai_teatro.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_teatro_eng.pdf
Palazzolo Acreide;14.894375;37.057547;Bouleuterion;Colle dell'Acromonte - via Teatro Greco;Area archeologica di Akrai;http://www.palazzolo-acreide.it/akrai_la_zona_archeologica_di%20palazzolo_acreide/bouleuterion.htm;ellenistica;Edificio pubblico civile;Biglietto cumulativo con Casa Museo Uccello € 5.00 ridotto 2,50 Orari soggetti a variazioni secondo le condizioni meteorologiche;0931 876602;nan;;4.0;2.0;Dal lunedì al sabato dalle 8,30 alle 16.30, chiusura biglietteria 15,30 Festivi 8,30 alle 13,45 chiusura biglietteria 12,30;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_bouleuterion.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Akrai_bouleuterion.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_bouleuterion_eng.pdf
Palazzolo Acreide;14.895218;37.057376;Latomia dell'Intagliata e dell'Intagliatella;Colle dell'Acromonte - via Teatro Greco;Area archeologica di Akrai;http://www.palazzolo-acreide.it/akrai_la_zona_archeologica_di%20palazzolo_acreide/le_latomie.htm;"classica; ellenistica; bizantina";Santuario;Biglietto cumulativo con Casa Museo Uccello € 5.00 ridotto 2,50 Orari soggetti a variazioni secondo le condizioni meteorologiche;0931 876602;nan;;4.0;2.0;Dal lunedì al sabato dalle 8,30 alle 16.30, chiusura biglietteria 15,30 Festivi 8,30 alle 13,45 chiusura biglietteria 12,30;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_latomia.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Akrai_latomie.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_latomia_eng.pdf
Palazzolo Acreide;14.894447;37.056551;Tempio di Afrodite;Colle dell'Acromonte - via Teatro Greco;Area archeologica di Akrai;http://www.palazzolo-acreide.it/akrai_la_zona_archeologica_di%20palazzolo_acreide/tempio_di_afrodite.htm;arcaica;Tempio;Biglietto cumulativo con Casa Museo Uccello € 5.00 ridotto 2,50 Orari soggetti a variazioni secondo le condizioni meteorologiche;0931 876602;nan;;4.0;2.0;Dal lunedì al sabato dalle 8,30 alle 16.30, chiusura biglietteria 15,30 Festivi 8,30 alle 13,45 chiusura biglietteria 12,30;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_afrodite.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Akrai_afrodite.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_afrodite_eng.pdf
Palazzolo Acreide;14.900125;37.055111;Santoni;Colle Orbo - S.P. 24;Area archeologica di Akrai;http://notizie.comuni-italiani.it/foto/52147;ellenistica;Santuario;;;nan;;0.0;0.0;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_santoni.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Akrai_santoni.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Akrai_santoni_eng.pdf
Agrigento;13.585986;37.288805;Tomba di Terone;Viale G. La Loggia;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;imperiale;Necropoli;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_terone.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_terone.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_terone_eng.pdf
Agrigento;13.586272;37.290224;Tempio A (c.d.di Ercole);Collina dei Templi;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;"arcaica; classica";Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_ercole.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_ercole.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_ercole_eng.pdf
Agrigento;13.581526;37.291307;Tempio I (c.d.dei Dioscuri);Collina dei Templi settore occidentale;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_dioscuri.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_dioscuri.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_dioscuri_eng.pdf
Agrigento;13.581425;37.291029;Tempio L;Collina dei Templi settore occidentale;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_tempiol.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_tempiol.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_tempiol_eng.pdf
Agrigento;13.581996;37.291919;Kolymbetra;Collina dei Templi settore occidentale;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Giardino;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_kolymbetra.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_kolymbetra.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_kolymbetra_eng.pdf
Agrigento;13.584327;37.290812;Tempio B di Zeus Olimpio;Collina dei Templi settore occidentale;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_zeus.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_zeus.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_zeus_eng.pdf
Agrigento;13.592079;37.289613;Tempio F (c.d. della Concordia);Collina dei Templi;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;"classica; ellenistica; romana; medievale";Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_concordia.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_concordia.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_concordia_eng.pdf
Agrigento;13.585612;37.291047;Altare del Tempio di Zeus Olimpio;Collina dei Templi settore occidentale;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Altare;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_altarezeus.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_altarezeus.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_altarezeus_eng.pdf
Agrigento;13.600139;37.288598;Tempio D (c.d. di Giunone);Collina dei Templi;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_giunone.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_giunone.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_giunone_eng.pdf
Agrigento;13.578821;37.292908;Tempio G di Efesto;Estremità occidentale della Collina dei Templi;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;classica;Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_efesto.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_efesto.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_efesto_eng.pdf
Agrigento;13.589629;37.282521;Tempio H di Asclepio;Piana di San Gregorio, S.S. 640;Parco archeologico e paesaggistico della Valle dei Templi;http://www.regione.sicilia.it/bbccaa/Dirbenicult/musei/cartedelleareearcheologiche/valledeitempliagrigento.pdf;"classica; ellenistica";Tempio;Ingresso gratuito a tutti per la prima domenica di ogni mese.;0922/621657/659/660/661;urp.parcoag@regione.sicilia.it;;10.0;5.0;Tutti i giorni dalle ore 8,30 alle ore 19,00 (via Sacra, Tempio di Giove), Quartiere Ellenistico Romano, Tempio di Demetra ed altre aree decentrate dalle ore 8,30 alle ore 17,00,.;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_asclepio.pdf;http://gis.osservatorioturistico.sicilia.it/doc/foto/archeo/ico/Valletempli_asclepio.jpg;;http://gis.osservatorioturistico.sicilia.it/doc/testi/schede_archeo/Valletempli_asclepio_eng.pdf
